id,group_name,symbol,option_name,created_at,expiry,instrument_token,basket_id,mode
911,G4-B,NIFTY BANK,BANKNIFTY25AUG56800CE,2025-08-01 11:50:11,2025-08-28,17121282,18,MAN
912,G4-B,NIFTY BANK,BANKNIFTY25AUG56900CE,2025-08-01 11:50:11,2025-08-28,17122306,18,MAN
913,G4-B,NIFTY BANK,BANKNIFTY25AUG57000CE,2025-08-01 11:50:11,2025-08-28,17123330,18,MAN
914,G4-B,NIFTY BANK,BANKNIFTY25AUG57100CE,2025-08-01 11:50:11,2025-08-28,17123842,18,MAN
915,G4-B,NIFTY BANK,BANKNIFTY25AUG57200CE,2025-08-01 11:50:11,2025-08-28,17138946,18,MAN
916,G4-B,NIFTY BANK,BANKNIFTY25AUG57300CE,2025-08-01 11:50:11,2025-08-28,17142274,18,MAN
917,G4-B,NIFTY BANK,BANKNIFTY25AUG56800PE,2025-08-01 11:50:11,2025-08-28,17121538,18,MAN
918,G4-B,NIFTY BANK,BANKNIFTY25AUG56900PE,2025-08-01 11:50:11,2025-08-28,17122562,18,MAN
919,G4-B,NIFTY BANK,BANKNIFTY25AUG57000PE,2025-08-01 11:50:11,2025-08-28,17123586,18,MAN
920,G4-B,NIFTY BANK,BANKNIFTY25AUG57100PE,2025-08-01 11:50:11,2025-08-28,17138434,18,MAN
921,G4-B,NIFTY BANK,BANKNIFTY25AUG57200PE,2025-08-01 11:50:11,2025-08-28,17142018,18,MAN
922,G4-B,NIFTY BANK,BANKNIFTY25AUG57300PE,2025-08-01 11:50:11,2025-08-28,17183234,18,MAN
1003,G4-B,BOSCHLTD,BOSCHLTD25AUG37500CE,2025-08-15 20:55:34,2025-08-28,21545218,18,MAN
1004,G4-B,BOSCHLTD,BOSCHLTD25AUG36500PE,2025-08-15 20:55:34,2025-08-28,21540866,18,MAN
1005,G4-B,BOSCHLTD,BOSCHLTD25AUG37250PE,2025-08-15 20:55:34,2025-08-28,19167490,18,MAN
1006,G4-B,MARUTI,MARUTI25AUG12800CE,2025-08-15 20:57:35,2025-08-28,30266882,18,MAN
1007,G4-B,MARUTI,MARUTI25AUG13100CE,2025-08-15 20:57:35,2025-08-28,28568578,18,MAN
1008,G4-B,MARUTI,MARUTI25AUG12800PE,2025-08-15 20:57:35,2025-08-28,30267138,18,MAN
1009,G4-B,MARUTI,MARUTI25AUG13100PE,2025-08-15 20:57:35,2025-08-28,28568834,18,MAN
1010,G4-B,SHREECEM,SHREECEM25AUG31250CE,2025-08-15 20:59:12,2025-08-28,33999618,18,MAN
1011,G4-B,SHREECEM,SHREECEM25AUG31750CE,2025-08-15 20:59:12,2025-08-28,34000130,18,MAN
1012,G4-B,SHREECEM,SHREECEM25AUG29250PE,2025-08-15 20:59:12,2025-08-28,33997826,18,MAN
1013,G4-B,SHREECEM,SHREECEM25AUG30000PE,2025-08-15 20:59:12,2025-08-28,34523906,18,MAN
1128,G6-B,ULTRACEMCO,ULTRACEMCO25SEP12400CE,2025-09-17 04:21:04,2025-09-30,36677634,22,MAN
1129,G6-B,ULTRACEMCO,ULTRACEMCO25SEP12700CE,2025-09-17 04:21:04,2025-09-30,33791234,22,MAN
1130,G6-B,ULTRACEMCO,ULTRACEMCO25SEP12600PE,2025-09-17 04:21:04,2025-09-30,36678402,22,MAN
1131,G6-B,ULTRACEMCO,ULTRACEMCO25SEP12900PE,2025-09-17 04:21:04,2025-09-30,33797378,22,MAN
1132,G6-B,ULTRACEMCO,ULTRACEMCO25SEPFUT,2025-09-17 04:21:04,2025-09-30,13801474,22,MAN
1133,G6-B,BAJAJ-AUTO,BAJAJ-AUTO25SEP8300CE,2025-09-17 04:22:46,2025-09-30,17089538,22,MAN
1134,G6-B,BAJAJ-AUTO,BAJAJ-AUTO25SEP8900CE,2025-09-17 04:22:46,2025-09-30,17091074,22,MAN
1135,G6-B,BAJAJ-AUTO,BAJAJ-AUTO25SEP9200PE,2025-09-17 04:22:46,2025-09-30,17950210,22,MAN
1136,G6-B,BAJAJ-AUTO,BAJAJ-AUTO25SEP9300PE,2025-09-17 04:22:46,2025-09-30,17092354,22,MAN
1137,G6-B,BAJAJ-AUTO,BAJAJ-AUTO25SEPFUT,2025-09-17 04:22:46,2025-09-30,13579266,22,MAN
1138,G6-B,BAJFINANCE,BAJFINANCE25SEP800CE,2025-09-17 04:25:53,2025-09-30,18179074,22,MAN
1139,G6-B,BAJFINANCE,BAJFINANCE25SEP890CE,2025-09-17 04:25:53,2025-09-30,10554370,22,MAN
1140,G6-B,BAJFINANCE,BAJFINANCE25SEP1200PE,2025-09-17 04:25:53,2025-09-30,18183938,22,MAN
1141,G6-B,BAJFINANCE,BAJFINANCE25SEP1300PE,2025-09-17 04:25:53,2025-09-30,17311490,22,MAN
1142,G6-B,BAJFINANCE,BAJFINANCE25SEPFUT,2025-09-17 04:25:53,2025-09-30,13579778,22,MAN
1143,G6-B,NIFTY BANK,BANKNIFTY25SEP55600CE,2025-09-17 04:27:54,2025-09-30,14080258,22,MAN
1144,G6-B,NIFTY BANK,BANKNIFTY25SEP55800CE,2025-09-17 04:27:54,2025-09-30,14081282,22,MAN
1145,G6-B,NIFTY BANK,BANKNIFTY25SEP55000PE,2025-09-17 04:27:54,2025-09-30,13992450,22,MAN
1146,G6-B,NIFTY BANK,BANKNIFTY25SEP55300PE,2025-09-17 04:27:54,2025-09-30,13995522,22,MAN
1147,G6-B,NIFTY BANK,BANKNIFTY25SEP55800PE,2025-09-17 04:27:54,2025-09-30,14081538,22,MAN
1148,G6-B,NIFTY BANK,BANKNIFTY25SEPFUT,2025-09-17 04:27:54,2025-09-30,13566722,22,MAN
1149,G6-B,BOSCHLTD,BOSCHLTD25SEP40500CE,2025-09-17 04:29:01,2025-09-30,19260674,22,MAN
1150,G6-B,BOSCHLTD,BOSCHLTD25SEP41000CE,2025-09-17 04:29:01,2025-09-30,19261186,22,MAN
1151,G6-B,BOSCHLTD,BOSCHLTD25SEP40500PE,2025-09-17 04:29:01,2025-09-30,19260930,22,MAN
1152,G6-B,BOSCHLTD,BOSCHLTD25SEP41000PE,2025-09-17 04:29:01,2025-09-30,19261442,22,MAN
1153,G6-B,BOSCHLTD,BOSCHLTD25SEPFUT,2025-09-17 04:29:01,2025-09-30,13583106,22,MAN
